track_name,artist_name,played_at
Here With Me,d4vd,2025-02-06T13:43:31.695Z
Regent's Park,Bruno Major,2025-02-06T13:46:29.744Z
In My Mind,Lyn Lapid,2025-02-06T13:49:12.768Z
Never Tell,Luke Chiang,2025-02-06T13:53:16.884Z
Promise,Laufey,2025-02-06T13:57:11.657Z
Fall for You,Sarah Kang,2025-02-06T14:00:08.199Z
From The Start,Laufey,2025-02-06T14:02:58.148Z
Fly Love,Jamie Foxx,2025-02-06T14:05:37.571Z
All Over Again,Sarah Kang,2025-02-06T14:08:36.911Z
Like the Movies,Laufey,2025-02-06T14:11:20.060Z
Valentine,Laufey,2025-02-06T14:14:09.626Z
east side,Lyn Lapid,2025-02-06T14:16:55.709Z
Beautiful Stranger,Laufey,2025-02-06T14:20:17.436Z
l-o-v-e,Rocco,2025-02-06T14:23:51.961Z
Where or When,Laufey,2025-02-06T14:27:16.826Z
Ride,HYBS,2025-02-06T14:30:20.256Z
Third Avenue,Rocco,2025-02-06T14:33:12.239Z
This Is How It Feels (with Laufey),d4vd,2025-02-06T14:37:57.041Z
Maps in French,Anthony Lazaro,2025-02-06T14:40:23.822Z
Nocturne (Interlude),Laufey,2025-02-06T14:42:48.482Z
Detached,Lyn Lapid,2025-02-06T14:45:15.443Z
Fairy Fountain,Super Guitar Bros,2025-02-06T14:46:19.260Z
Apples,Rocco,2025-02-06T14:48:29.008Z
Before spring ends（在春天消失之前）,王OK,2025-02-06T14:51:27.249Z
Rahama (Live),kaestrings,2025-02-07T07:19:03.723Z
I Will Always Love You,Dolly Parton,2025-02-07T21:55:19.742Z
Broken (Acoustic),kaestrings,2025-02-08T08:46:41.629Z
From The Start,Laufey,2025-02-08T08:50:43.963Z
her,JVKE,2025-02-08T08:53:36.225Z
God Given Dreams,Lord's Child,2025-02-08T08:56:29.035Z
Evergreen,Richy Mitch & The Coal Miners,2025-02-08T08:57:56.300Z
What Love Will Do to You,Laufey,2025-02-08T09:00:47.974Z
Fragile,Laufey,2025-02-08T09:04:49.559Z
Beautiful Stranger,Laufey,2025-02-08T09:08:11.203Z
Die With A Smile,Lady Gaga,2025-02-08T10:00:11.294Z
Alone,Anendlessocean,2025-02-08T10:04:14.545Z
I Will Always Love You,Dolly Parton,2025-02-08T18:39:02.703Z
dandelions (full rewrite),Josh Thomas,2025-02-08T18:44:47.667Z
Birds of a feather - Christian Version,Kenneth Kelly,2025-02-08T18:46:38.022Z
What a Beautiful Name,The Violin Sisters,2025-02-08T18:51:39.432Z
My Love Mine All Mine (Christian Rewrite),Josh Thomas,2025-02-08T18:53:54.274Z
dandelions (full rewrite),Josh Thomas,2025-02-08T18:58:50.023Z
Birds of a feather - Christian Version,Kenneth Kelly,2025-02-08T19:00:39.086Z
My Love Mine All Mine (Christian Rewrite),Josh Thomas,2025-02-08T19:03:05.096Z
dandelions (full rewrite),Josh Thomas,2025-02-08T19:08:00.970Z
Te Amo,121SELAH,2025-02-08T21:42:23.433Z
Darling Jesus,S.O.N Music,2025-02-08T21:44:25.168Z
